Opisthokonta	Fungi	23
Sar	Alveolata	24
Sar	Alveolata	15
Amoebozoa	Evosea	33
Viridiplantae	Streptophyta	26
Viridiplantae	Streptophyta	50
Viridiplantae	Streptophyta	59
Sar	Alveolata	5
Sar	Alveolata	1
Amoebozoa	Evosea	30
Discoba	Euglenozoa	8
Amoebozoa	Tubulinea	10
Opisthokonta	Fungi	16
Sar	Alveolata	13
Haptista	Haptophyta	5
Opisthokonta	Choanoflagellata	9
Sar	Rhizaria	5
Discoba	Euglenozoa	2
Amoebozoa	Evosea	5
Amoebozoa	Evosea	2
Opisthokonta	Fungi	24
Opisthokonta	Fungi	8
Opisthokonta	Fungi	9
Opisthokonta	Fungi	6
Opisthokonta	Fungi	13
Opisthokonta	Fungi	18
Viridiplantae	Streptophyta	55
Opisthokonta	Ichthyosporea	1
Discoba	Jakobida	4
Discoba	Jakobida	1
Sar	Alveolata	3
Malawimonadida	Malawimonadidae	10
Haptista	Haptophyta	7
Amoebozoa	Evosea	3
Discoba	Jakobida	15
Sar	Alveolata	4
Discoba	Heterolobosea	7
Discoba	Jakobida	2
Metamonada	Preaxostyla	2
Discoba	Euglenozoa	1
Haptista	Haptophyta	24
Opisthokonta	Fungi	39
Opisthokonta	Fungi	45
Opisthokonta	Fungi	20
Opisthokonta	Fungi	30
Opisthokonta	Fungi	20
Viridiplantae	Chlorophyta	44
Opisthokonta	Metazoa	2
Opisthokonta	Fungi	29
Opisthokonta	Metazoa	9
Opisthokonta	Fungi	22
Opisthokonta	Fungi	22
Opisthokonta	Fungi	22
Opisthokonta	Fungi	22
Opisthokonta	Fungi	18
Opisthokonta	Fungi	21
Opisthokonta	Fungi	18
Opisthokonta	Fungi	27
Opisthokonta	Fungi	18
Opisthokonta	Fungi	21
Opisthokonta	Fungi	22
Opisthokonta	Fungi	20
Opisthokonta	Fungi	21
Opisthokonta	Fungi	21
Opisthokonta	Fungi	20
Opisthokonta	Fungi	21
Opisthokonta	Fungi	20
Opisthokonta	Fungi	22
Opisthokonta	Fungi	24
Opisthokonta	Fungi	19
Opisthokonta	Fungi	18
Opisthokonta	Fungi	21
Opisthokonta	Fungi	19
Opisthokonta	Fungi	21
Opisthokonta	Fungi	21
Opisthokonta	Fungi	21
Opisthokonta	Fungi	21
Opisthokonta	Fungi	18
Opisthokonta	Fungi	21
Opisthokonta	Fungi	20
Opisthokonta	Fungi	22
Opisthokonta	Fungi	21
Opisthokonta	Fungi	21
Opisthokonta	Fungi	21
Opisthokonta	Fungi	18
Opisthokonta	Fungi	20
Opisthokonta	Fungi	23
Opisthokonta	Fungi	20
Opisthokonta	Fungi	22
Opisthokonta	Fungi	21
Opisthokonta	Fungi	16
Opisthokonta	Fungi	22
Opisthokonta	Fungi	17
Opisthokonta	Fungi	1
Opisthokonta	Fungi	22
Opisthokonta	Fungi	20
Opisthokonta	Fungi	21
Opisthokonta	Fungi	22
Opisthokonta	Fungi	24
Opisthokonta	Fungi	22
Opisthokonta	Fungi	23
Opisthokonta	Fungi	21
Opisthokonta	Fungi	22
Opisthokonta	Fungi	22
Opisthokonta	Fungi	22
Opisthokonta	Fungi	20
Opisthokonta	Fungi	22
Opisthokonta	Fungi	22
Opisthokonta	Fungi	21
Opisthokonta	Fungi	23
Opisthokonta	Fungi	21
Opisthokonta	Fungi	20
Opisthokonta	Fungi	22
Opisthokonta	Fungi	22
Opisthokonta	Fungi	22
Opisthokonta	Fungi	1
Opisthokonta	Fungi	20
Opisthokonta	Fungi	20
Opisthokonta	Fungi	20
Opisthokonta	Fungi	16
Opisthokonta	Fungi	20
Opisthokonta	Fungi	21
Opisthokonta	Fungi	21
Opisthokonta	Fungi	22
Opisthokonta	Fungi	30
Opisthokonta	Fungi	22
Opisthokonta	Fungi	22
Opisthokonta	Fungi	23
Opisthokonta	Fungi	23
Opisthokonta	Fungi	22
Opisthokonta	Fungi	22
Opisthokonta	Fungi	22
Opisthokonta	Fungi	22
Opisthokonta	Fungi	18
Opisthokonta	Fungi	21
Opisthokonta	Fungi	23
Opisthokonta	Fungi	22
Opisthokonta	Fungi	22
Opisthokonta	Fungi	19
Opisthokonta	Fungi	22
Opisthokonta	Fungi	22
Opisthokonta	Fungi	21
Opisthokonta	Fungi	20
Opisthokonta	Fungi	18
Opisthokonta	Fungi	22
Opisthokonta	Fungi	22
Opisthokonta	Fungi	20
Opisthokonta	Fungi	21
Opisthokonta	Fungi	20
Opisthokonta	Fungi	22
Opisthokonta	Fungi	21
Opisthokonta	Fungi	21
Opisthokonta	Fungi	23
Opisthokonta	Fungi	20
Opisthokonta	Fungi	22
Opisthokonta	Fungi	11
Opisthokonta	Fungi	19
Opisthokonta	Fungi	24
Opisthokonta	Fungi	21
Opisthokonta	Fungi	21
Opisthokonta	Fungi	20
Opisthokonta	Fungi	23
Opisthokonta	Fungi	21
Opisthokonta	Fungi	21
Opisthokonta	Fungi	21
Opisthokonta	Fungi	21
Opisthokonta	Fungi	22
Opisthokonta	Fungi	21
Opisthokonta	Fungi	17
Opisthokonta	Fungi	17
Opisthokonta	Fungi	21
Opisthokonta	Fungi	22
Opisthokonta	Fungi	21
Opisthokonta	Fungi	21
Opisthokonta	Fungi	17
Opisthokonta	Fungi	22
Opisthokonta	Fungi	18
Opisthokonta	Fungi	20
Opisthokonta	Fungi	20
Opisthokonta	Fungi	20
Opisthokonta	Fungi	17
Opisthokonta	Fungi	21
Opisthokonta	Fungi	16
Opisthokonta	Fungi	17
Opisthokonta	Fungi	18
Opisthokonta	Fungi	23
Opisthokonta	Fungi	20
Opisthokonta	Metazoa	27
Opisthokonta	Metazoa	25
Opisthokonta	Metazoa	27
Opisthokonta	Metazoa	42
Opisthokonta	Metazoa	18
Opisthokonta	Metazoa	35
Opisthokonta	Metazoa	6
Opisthokonta	Metazoa	26
Opisthokonta	Metazoa	46
Opisthokonta	Metazoa	3
Opisthokonta	Metazoa	26
Opisthokonta	Metazoa	8
Opisthokonta	Metazoa	2
Opisthokonta	Metazoa	27
Opisthokonta	Metazoa	27
Opisthokonta	Metazoa	14
Opisthokonta	Metazoa	27
Opisthokonta	Metazoa	28
Opisthokonta	Metazoa	27
Opisthokonta	Metazoa	40
Opisthokonta	Metazoa	10
Opisthokonta	Metazoa	4
Opisthokonta	Metazoa	27
Opisthokonta	Metazoa	11
Opisthokonta	Metazoa	33
Opisthokonta	Metazoa	2
Opisthokonta	Metazoa	29
Opisthokonta	Metazoa	18
Opisthokonta	Metazoa	25
Opisthokonta	Metazoa	41
Opisthokonta	Metazoa	25
Opisthokonta	Metazoa	25
Opisthokonta	Metazoa	2
Opisthokonta	Metazoa	21
Opisthokonta	Metazoa	29
Opisthokonta	Metazoa	6
Opisthokonta	Metazoa	2
Opisthokonta	Metazoa	11
Opisthokonta	Metazoa	7
Opisthokonta	Metazoa	27
Opisthokonta	Metazoa	9
Opisthokonta	Metazoa	10
Opisthokonta	Metazoa	28
Opisthokonta	Metazoa	6
Opisthokonta	Metazoa	18
Opisthokonta	Metazoa	8
Opisthokonta	Metazoa	39
Opisthokonta	Metazoa	23
Opisthokonta	Metazoa	2
Opisthokonta	Metazoa	35
Opisthokonta	Metazoa	27
Opisthokonta	Metazoa	27
Opisthokonta	Metazoa	2
Opisthokonta	Metazoa	13
Opisthokonta	Metazoa	43
Opisthokonta	Metazoa	24
Opisthokonta	Metazoa	26
Opisthokonta	Metazoa	56
Opisthokonta	Metazoa	42
Opisthokonta	Metazoa	40
Opisthokonta	Metazoa	17
Opisthokonta	Metazoa	41
Opisthokonta	Metazoa	5
Opisthokonta	Metazoa	22
Opisthokonta	Metazoa	38
Opisthokonta	Metazoa	3
Opisthokonta	Metazoa	34
Opisthokonta	Metazoa	28
Opisthokonta	Metazoa	25
Opisthokonta	Metazoa	40
Opisthokonta	Metazoa	7
Opisthokonta	Metazoa	32
Opisthokonta	Metazoa	21
Sar	Stramenopiles	35
Sar	Alveolata	17
Sar	Rhizaria	40
Sar	Alveolata	14
Sar	Alveolata	16
Amoebozoa	Evosea	33
Amoebozoa	Evosea	32
Sar	Stramenopiles	28
Opisthokonta	Fungi	8
Opisthokonta	Fungi	12
Opisthokonta	Fungi	11
Opisthokonta	Fungi	10
Sar	Stramenopiles	25
Metamonada	Fornicata	16
Cryptophyceae	Pyrenomonadales	27
Discoba	Euglenozoa	28
Discoba	Euglenozoa	27
Discoba	Euglenozoa	28
Opisthokonta	Choanoflagellata	17
Sar	Alveolata	22
Opisthokonta	Fungi	8
Opisthokonta	Fungi	7
Opisthokonta	Fungi	12
Sar	Alveolata	72
Metamonada	Parabasalia	1
Sar	Alveolata	26
Sar	Stramenopiles	3
Sar	Stramenopiles	37
Sar	Stramenopiles	33
Sar	Stramenopiles	26
Sar	Alveolata	24
Amoebozoa	Evosea	31
Opisthokonta	Ichthyosporea	26
Sar	Stramenopiles	33
Sar	Alveolata	39
Sar	Alveolata	18
Sar	Stramenopiles	26
Sar	Alveolata	26
Discoba	Euglenozoa	20
Metamonada	Parabasalia	38
Discoba	Euglenozoa	19
Viridiplantae	Streptophyta	61
Viridiplantae	Streptophyta	53
Viridiplantae	Streptophyta	3
Viridiplantae	Chlorophyta	21
Viridiplantae	Streptophyta	69
Viridiplantae	Streptophyta	31
Viridiplantae	Streptophyta	60
Viridiplantae	Chlorophyta	17
Viridiplantae	Chlorophyta	23
Viridiplantae	Streptophyta	39
Opisthokonta	Fungi	20
