tracey_taxonomy_id,ncbi_taxonomy_id,species group,species subgroup,cohort,family,tribe,class,biotype,genotype,section,order,superorder,superphylum,pathogroup,subphylum,parvorder,subfamily,species,isolate,infraorder,subkingdom,forma,phylum,strain,superkingdom,suborder,kingdom,infraclass,superclass,superfamily,subtribe,subcohort,forma specialis,serogroup,subclass,varietas,series,genus,serotype,subgenus,subspecies
34,7712,-,-,-,-,-,-,-,-,-,-,-,-,-,Tunicata,-,-,-,-,-,-,-,Chordata,-,Eukaryota,-,Metazoa,-,-,-,-,-,-,-,-,-,-,-,-,-,-
35,6157,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Platyhelminthes,-,Eukaryota,-,Metazoa,-,-,-,-,-,-,-,-,-,-,-,-,-,-
36,8782,-,-,-,-,-,Aves,-,-,-,-,-,-,-,Craniata,-,-,-,-,-,-,-,Chordata,-,Eukaryota,-,Metazoa,-,Sarcopterygii,-,-,-,-,-,-,-,-,-,-,-,-
37,33630,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Eukaryota,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
38,5794,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Apicomplexa,-,Eukaryota,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
39,32644,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,unidentified,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
40,2763,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Rhodophyta,-,Eukaryota,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
41,142796,-,-,-,-,-,Eumycetozoa,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Evosea,-,Eukaryota,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
42,33084,-,-,-,Entamoebidae,-,-,-,-,-,Mastigamoebida,-,-,-,-,-,-,-,-,-,-,-,Evosea,-,Eukaryota,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
43,115366,-,-,-,-,-,Craniata,-,-,-,-,-,-,-,Craniiformea,-,-,-,-,-,-,-,Brachiopoda,-,Eukaryota,-,Metazoa,-,-,-,-,-,-,-,-,-,-,-,-,-,-
44,5738,-,-,-,-,-,-,-,-,-,Diplomonadida,-,-,-,-,-,-,-,-,-,-,-,Fornicata,-,Eukaryota,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
45,6340,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Annelida,-,Eukaryota,-,Metazoa,-,-,-,-,-,-,-,-,-,-,-,-,-,-
46,6074,-,-,-,-,-,Hydrozoa,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Cnidaria,-,Eukaryota,-,Metazoa,-,-,-,-,-,-,-,-,-,-,-,-,-,-
47,88770,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Eukaryota,-,Metazoa,-,-,-,-,-,-,-,-,-,-,-,-,-,-
48,42241,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Tardigrada,-,Eukaryota,-,Metazoa,-,-,-,-,-,-,-,-,-,-,-,-,-,-
49,6933,-,-,-,-,-,Arachnida,-,-,-,-,-,-,-,Chelicerata,-,-,-,-,-,-,-,Arthropoda,-,Eukaryota,-,Metazoa,-,-,-,-,-,-,-,Acari,-,-,-,-,-,-
50,5653,-,-,-,-,-,Kinetoplastea,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Euglenozoa,-,Eukaryota,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
51,6843,-,-,-,-,-,-,-,-,-,-,-,-,-,Chelicerata,-,-,-,-,-,-,-,Arthropoda,-,Eukaryota,-,Metazoa,-,-,-,-,-,-,-,-,-,-,-,-,-,-
