Root	root
PrDe	Prevotella denticola CRIS 18C-A
PaSp_3	Paenibacillus sp. HGF7
GaPr_5	gamma proteobacterium IMCC2047
BaOv_3	Bacteroides ovatus 3_8_47FAA
DiCin	Dietzia cinnamea P4
LeArg	Leuconostoc lactis KCTC 3773
LaSp	Lacinutrix sp. 5H-3-7-4
GlSp_2	Glaciecola sp. 4H-3-7+YE-5
PsHa_1	Pseudoalteromonas haloplanktis ANT/505
KrSp	Dokdonia sp. 4H-3-7-5
BiWa	Bilophila wadsworthia 3_1_6
LaBa_8	Lachnospiraceae bacterium 3_1_46FAA
PsuSp	Pseudonocardia sp. P1
RuSl	Runella slithyformis DSM 19594
FlTa	Fluviicola taffensis DSM 16823
RhSp_5	Cereibacter sphaeroides WS8N
BaSp_22	Bacteroides sp. 2_1_56FAA
KlSp_1	Klebsiella sp. MS 92-3
LaBa_9	Lachnospiraceae bacterium 4_1_37FAA
WeVi	Weeksella virosa DSM 16922
StrIn_2	Streptococcus infantis SK1076
LaMi	Lautropia mirabilis ATCC 51599
LaRu_1	Ligilactobacillus ruminis SPM0211
HiMa	Hippea maritima DSM 10411
ClSp_5	Clostridium sp. D5
ThNa	Thermodesulfobium narugense DSM 14796
ViSi	Vibrio sinaloensis DSM 21326
NoLe	Nomascus leucogenys
StGa_2	Streptococcus gallolyticus subsp. gallolyticus ATCC BAA-2069
MeCo	Methanothrix soehngenii GP6
ViBr	Vibrio brasiliensis LMG 20546
LaFr	Lactobacillus fructivorans KCTC 3543
CeLy	Cellulophaga lytica DSM 7489
BiLo_9	Bifidobacterium longum subsp. infantis 157F
BiLo_10	Bifidobacterium longum subsp. longum JCM 1217
SprSp	Sphaerochaeta globosa str. Buddy
StSp_3	Streptococcus sp. M334
LaAc_3	Lactobacillus acidophilus 30SC
StSp_4	Streptococcus sp. C300
HaoSp	Halomonas sp. TD01
St_11	Streptomyces sp. Tu6071
StCr	Streptococcus cristatus ATCC 51100
StrIn_1	Streptococcus infantis ATCC 700779
StVe_1	Streptococcus vestibularis ATCC 49124
HaHy	Haliscomenobacter hydrossis DSM 1100
PlDo	Planococcus donghaensis MPA1U2
GoNe	Gordonia neofelifaecis NRRL B-59395
StaPs	Staphylococcus pseudintermedius HKU10-03
GaPr_6	gamma proteobacterium IMCC1989
TheIn	Thermodesulfatator indicus DSM 15286
BaSa	Phocaeicola salanitronis DSM 18170
DeRu	Desulforamulus ruminis DSM 2154
NoBa	Nocardioidaceae bacterium Broad-1
LacAn	Ligilactobacillus animalis KCTC 3501 = DSM 20602
DeAf	Desulfocurvibacter africanus subsp. africanus str. Walvis Bay
ClSp_6	Clostridium sp. SY8519
MetSp	Methylocystis sp. ATCC 49242
PaMuc	Paenibacillus mucilaginosus KNP414
IdSp	Idiomarina sp. A28L
DeNi	Desulfotomaculum nigrificans DSM 574
OrSp_1	Oribacterium sp. oral taxon 108 str. F0425
StSp_5	Streptococcus sp. oral taxon 056 str. F0418
AeVe	Aeromonas veronii B565
ThSo	Thermus scotoductus SA-01
SiNe	Simkania negevensis Z
ActSp178	Actinomyces sp. oral taxon 178 str. F0338
PsDi	Pseudonocardia dioxanivorans CB1190
StPa_3	Streptococcus parasanguinis ATCC 903
FlSi	Flexistipes sinusarabici DSM 4947
BaCoa_2	Heyndrickxia coagulans 2-6
CaSp338	Capnocytophaga sp. oral taxon 338 str. F0234
AliSp	Alistipes sp. HGB5
EnHo	Enterobacter hormaechei ATCC 49162
CrPam	Cryptomonas paramecium
MeIg	Methanotorris igneus Kol 5
BoTe	Bombus terrestris
CaFl	Camponotus floridanus
AcEc	Acromyrmex echinatior
LeSa	Lepeophtheirus salmonis
HyPa	Hyaloperonospora parasitica
SaArc	Sphaeroforma arctica JP610
ThTra	Thecamonas trahens ATCC 50062
BlDe_3	Blastomyces dermatitidis ATCC 18188
GlGr	Colletotrichum graminicola M1.001
PaBr_4	Paracoccidioides brasiliensis Pb18
ScCr	Schizosaccharomyces cryophilus
ScOc_1	Schizosaccharomyces octosporus
PaBr_3	Paracoccidioides brasiliensis Pb03
BlDe_2	Blastomyces dermatitidis ER-3
PhGig	Phlebiopsis gigantea
SeLa	Serpula lacrymans var. lacrymans S7.3
FoMe	Fomitiporia mediterranea
BiNa	Bigelowiella natans CCMP2755
CoSa	Bipolaris sorokiniana
PiMe	Pichia membranifaciens
WiAn	Wickerhamomyces anomalus
PaHa	Parhyale hawaiensis
CoPut	Coniophora puteana
LiSt	Lipomyces starkeyi NRRL Y-11557
AcAl	Sodiomyces alcalophilus
DaSp	Dacryopinax sp. DJM-731 SS1
PhCar	Phanerochaete carnosa HHB-10118-sp
CaTen	Candida tenuis
StHir	Stereum hirsutum FP-91666 SS1
SpPa	Spathaspora passalidarum NRRL Y-27907
LeNe	Leonotis nepetifolia
WrTi	Wrightia tinctoria
SeLa_1	Serpula lacrymans var. lacrymans S7.9
AgBi	Agaricus bisporus var. bisporus H97
MyPop	Sphaerulina populicola
AuDe	Auricularia subglabra TFB-10046 SS5
PuSt	Punctularia strigosozonata
OgPo	Ogataea polymorpha
CaCas	Tortispora caseinolytica NRRL Y-17796
MyPo_1	Sphaerulina musiva SO2202
BjAd	Bjerkandera adusta
ArAn	Artemisia annua
AsAc	Aspergillus aculeatus ATCC 16872
SeTu	Exserohilum turcicum
PhBre	Phlebia brevispora HHB-7030 SS6
GaSp	Ganoderma sp. 10597 SS1
AsCa	Aspergillus carbonarius ITEM 5010
PaTa	Pachysolen tannophilus NRRL Y-2460
PyTe_1	Pyrenophora teres f. teres
BaCom	Baudoinia compniacensis
FoPi_1	Fomitopsis pinicola FP-58527 SS1
MaDo	Malus domestica
LoAf	Loxodonta africana
FlBr	Flavobacterium branchiophilum
ViNi	Vibrio nigripulchritudo ATCC 27043
OtGa	Otolemur garnettii
PhMed	Phytophthora medicaginis
CaCh	Capsicum chinense
MeSa_2	Medicago sativa subsp. x varia
EuFu	Eulemur fulvus albifrons
DiMi	Raperostelium minutum
EuMa	Eulemur macaco macaco
ParTr	Paramecium triaurelia
AePs	Aedes pseudoscutellaris
JuPr	Juniperus przewalskii
DoPe	Doryteuthis pealeii
SclSp	Sclerotinia sp. H01-V14
MyTr	Mytilus trossulus
PhAp	Pythium aphanidermatum
ArSa	Artemia salina
TrBr_3	Trypanosoma brucei brucei strain 927/4 GUTat10.1
JaMa	Jacobaea maritima
ScPa	Scylla paramamosain
BrRaCa	Brassica rapa subsp. campestris
PaBi	Paramecium biaurelia
MeLp_1	Melampsora larici-populina 98AG31
KaVe	Karlodinium veneficum
PoTo	Populus tomentosa
CeAm	Cenchrus americanus
TrRe_1	Trichoderma reesei QM6a
CaLau	Caenacis lauta
HeZe	Heterorhabditis zealandica
OrBr	Oryza brachyantha
CeFu	Cecidostiba fungosa
HyaAr	Hyaloperonospora arabidopsidis Emoy2
HaCr	Haliotis cracherodii
SaCe_10	Saccharomyces cerevisiae JAY291
CrGa_2	Cryptococcus bacillisporus
DiLo	Dimocarpus longan
AvFa	Avena fatua
KrMa	Kryptolebias marmoratus
MuBar	Mullus barbatus
JaCu	Jatropha curcas
FeAr	Lolium arundinaceum
LeMex	Leishmania mexicana MHOM/GT/2001/U1103
DiEx	Dinenympha exilis
AnPl	Anas platyrhynchos
TiJa	Tigriopus japonicus
PrJu	Prosopis juliflora
NaRe	Nassarius reticulatus
PhQu	Phytophthora quercina
PhGo	Phytophthora gonapodyides
HaDiDi	Haliotis discus discus
SaOf	Saccharum officinarum
PoPr	Poa pratensis
PhAl	Phytophthora alni
AsAw	Aspergillus awamori
PyGr	Pyrsonympha grandis
HeDo	Heterorhabditis downesi
PaNo	Paramecium novaurelia
FoNu	Fonsecaea nubica
NiSy	Nicotiana sylvestris
TrVig	Tradescantia virginiana
MeDo	Megastigmus dorsalis
NiBe	Nicotiana benthamiana
PeHy	Petunia x hybrida
SeVu	Senecio vulgaris
SoCh	Solanum chacoense
SoNi	Solanum nigrum
MiMi_HF4000	uncultured marine microorganism HF4000_APKG10F13
TrMa	Triatoma matogrossensis
AiPu	Aiptasia pulchella
PoLu	Poeciliopsis lucida
LeCa	Lepidium campestre
MaOr	Pyricularia oryzae
ApVa	Aphrocallistes vastus
PaXu	Papilio xuthus
TuMe_2	Tuber melanosporum
TrBrit	Trichinella britovi
SaBak	Salix bakko
PaMaj	Pagrus major
GlLi	Colletotrichum lindemuthianum
FoMo	Fonsecaea monophora
EuMo	Eulemur mongoz
CaTen_2	Yamadazyma tenuis ATCC 10573
PhKe	Phytophthora kernoviae
MiTo	Microgadus tomcod
LacSat	Lactuca sativa
ScTr	Sclerotinia trifoliorum
PhPse	Phytophthora pseudosyringae
GiIn_3	Giardia lamblia P15
GoHe	Gossypium herbaceum subsp. africanum
NiNi	Nidula niveotomentosa
TrPr	Tragopogon pratensis
NeCan	Neospora caninum Liverpool
PhAl_3	Phytophthora x multiformis
PhAl_2	Phytophthora x alni
PhAl_4	Phytophthora uniformis
PlPla	Pleuronectes platessa
BuBu	Bubalus bubalis
PhEr	Phytophthora erythroseptica
OgPa_1	Ogataea parapolymorpha DL-1
EpFe	Epichloe festucae
DrLi	Drosophila littoralis
DrNo	Drosophila novamexicana
GiIn	Giardia intestinalis ATCC 50581
DrAt	Drosophila atripex
KoPh	Komagataella phaffii
PhMel	Phytophthora melonis
ToGo_3	Toxoplasma gondii GT1
SaMil	Salvia miltiorrhiza
SpEx	Spodoptera exigua
PhRo	Rhinolophus rouxii
ZyRo_2	Zygosaccharomyces rouxii
BaOl	Bactrocera oleae
BaGi	Babesia gibsoni
GeJa	Gekko japonicus
HoSp	Holosticha sp. WJC-2003
GraLe	Gracilaria lemaneiformis
LiLi	Limanda limanda
GrsLe	Gracilariopsis lemaneiformis
GySt	Gymnochlora stellata
AeAl	Aedes albopictus
BeBa	Beauveria bassiana
LepMa	Plenodomus lingam
EreSi	Eremothecium sinecaudum
MiAr	Microtus arvalis
LewIn	Alternaria infectoria
RaRi	Pelophylax ridibundus
BoBi	Bombus ignitus
AjCa_3	Histoplasma capsulatum G186AR
RaCa	Aquarana catesbeiana
AreCh	Hapsidospora chrysogena
GlMo	Glossina morsitans morsitans
TrFu	Tremella fuciformis
BlDe	Blastomyces dermatitidis
EuFu_2	Eulemur fulvus rufus
PeAm	Periplaneta americana
LbAm	Iberis amara
ErJa	Eriobotrya japonica
TrIn	Triatoma infestans
LeDo	Leishmania donovani BPK282A1
CoJa	Coturnix japonica
EnPu	Endocarpon pusillum
PeCh_2	Penicillium chrysogenum
LaKa	Larix kaempferi
ScOcel	Sciaenops ocellatus
ColGl	Colletotrichum gloeosporioides
PySp	Pythium spinosum
PyVa	Pythium vanterpoolii
XeBor	Xenopus borealis
ClPu	Claviceps purpurea
MoPu	Monascus purpureus
PrCa	Priapulus caudatus
ArcSp	Arcobacter sp. L
RhCc	Rhodomonas sp. CCMP768
LaCro	Larimichthys crocea
EuMaFl	Eulemur flavifrons
VaVaVa	Varecia variegata variegata
MuBal	Musa balbisiana
GoKi	Gossypioides kirkii
PhPsy	Phytophthora psychrophila
PhEu	Phytophthora europaea
AjCa_4	Histoplasma capsulatum H143
AjCa_5	Histoplasma capsulatum var. duboisii H88
ChaTh	Thermochaetoides thermophila DSM 1495
TiCa	Tigriopus californicus
OxMa	Oxyrrhis marina
TrCo	Trypanosoma congolense IL3000
PhCac	Phytophthora cactorum
StCal	Stomoxys calcitrans
ArRo	Amylomyces rouxii
PenMa_2	Talaromyces marneffei
AlCe	Allium cepa
AlSat	Allium sativum
PaSe	Paramecium septaurelia
PaPe	Paramecium pentaurelia
LiLo	Lilium longiflorum
PaOc	Paramecium octaurelia
IcBa	Ichthyophis bannanicus
HoJu	Hottentotta judaicus
AnDa	Anopheles darlingi
TrViv	Trypanosoma vivax Y486
FuDi	Fucus distichus
ChVa	Chlorella variabilis
ColGl_2	Colletotrichum gloeosporioides f. sp. aeschynomenes
DaPuli	Daphnia pulicaria
TrDu	Tragopogon dubius
MyGr_1	Zymoseptoria tritici IPO323
PhBo	Phytophthora boehmeriae
GossRa	Gossypium raimondii
ArOl	Orbilia oligospora ATCC 24927
GrJa	Griffithsia japonica
ArtSp	Artemia sp.
PhIl	Phytophthora ilicis
ScDu	Scoparia dulcis
MaHiSa	Malignant histiocytosis sarcoma virus
VaRu	Varecia rubra
PnDr	Pneumocystis carinii
PhDr	Phytophthora drechsleri
PhCitro	Phytophthora citrophthora
CopDi	Coprinellus disseminatus
SaSp	Salpingoeca rosetta
PhNi	Phytophthora nicotianae
PhMeg	Phytophthora megasperma
PhCr	Phytophthora cryptogea
PhCin	Phytophthora cinnamomi
MaDe	Mayetiola destructor
RuEl	Rucervus eldii
BeVu_2	Beta vulgaris
AlFu	Alexandrium fundyense
SpRe	Sporisorium reilianum SRZ2
PiPa_2	Komagataella phaffii CBS 7435
GecLa	Gecarcinus lateralis
MuRa	Mucor racemosus
SclSp_2	Sclerotinia sp. H02-V28
EutHa	Eutrema halophilum
MaIn	Mangifera indica
CoLu	Curvularia lunata
ChTe_2	Chlorobaculum tepidum
BaPh	Balaenoptera physalus
CraAn	Crassostrea angulata
NaCa	Naumovozyma castellii CBS 4309
BisBe	Biston betularia
ElMa	Elephas maximus
PhAu	Phragmites australis
CoTr	Colletotrichum trifolii
EmSo	Emilia sonchifolia
HeloSp	Helobdella sp. DHK-2009
GlCi	Glomerella cingulata
MyTh	Thermothelomyces thermophilus ATCC 42464
ToGo_4	Toxoplasma gondii VEG
CuMe	Cucumis melo subsp. melo
BrSy	Brachypodium sylvaticum
CrNe_2	Cryptococcus neoformans var. grubii
OsTi	Oscheius tipulae
PhPin	Phytophthora pinifolia
CoCon	Cotesia congregata
MeDu	Megastigmus dumicola
SaCe_11	Saccharomyces cerevisiae EC1118
RhGl	Rhodotorula toruloides ATCC 204091
MuAc_2	Musa acuminata AAA Group
ThLes	Theileria lestoquardi
CoMi	Cordyceps militaris CM01
RaRaVi	Rasheed rat sarcoma virus
AlLa	Albugo laibachii Nc14
ChPl	Chiloscyllium plagiosum
ZiVi	Zinnia elegans
NsMuSaVi	NS.C58 murine sarcoma virus
KiMuSaVi	Kirsten murine sarcoma virus
PhNe	Phytophthora nemorosa
MoMuSaVi	Moloney murine sarcoma virus
PiPi	Pinus pinaster
HaMuSaVi	Harvey murine sarcoma virus
MySp	Mytilus sp. ZED-2008
CoMi_2	Cordyceps militaris
PlXy	Plutella xylostella
SuFu	Suberites fuscus
LeSp	Leucosolenia sp. AR-2003
HaDiSu	Haliotis diversicolor supertexta
HyLi	Trichoderma harzianum
LoTe	Lolium temulentum
MeAm	Mesopolobus amaenus
TrRu_2	Trichophyton rubrum
CaHi	Capra hircus
MeAn_2	Metarhizium anisopliae
RaSaVi	Rat sarcoma virus
DaAr	Daphnia arenata
MeAu	Mesocricetus auratus
CrCr	Cricetus cricetus
MeCr	Mesembryanthemum crystallinum
BacDo	Bactrocera dorsalis
BeVu	Beta vulgaris subsp. vulgaris
NaDa	Naumovozyma dairenensis CBS 421
PhTe	Phytophthora tentaculata
PhRu	Phytophthora rubi
PhHu	Phytophthora humicola
PeEn	Apopellia endiviifolia (species B)
PhIns	Phytophthora insolita
PhKa	Phytophthora katsurae
PhRi	Phytophthora richardiae
PhLa	Phytophthora lateralis
CrNe_1	Cryptococcus neoformans var. neoformans
BoSa	Bodo saltans
PaVe	Parophrys vetulus
PsFloc	Pseudozyma flocculosa
PhHe	Phytophthora heveae
GrCl	Grosmannia clavigera kw1407
PhSpl	Globisporangium splendens
DrAm	Drosophila americana
DrFl	Drosophila flavomontana
PhInf	Phytophthora inundata
FoPe	Fonsecaea pedrosoi
PhMy	Pythium myriotylum
MeAn	Metarhizium robertsii ARSEF 23
PalVa	Palaemon varians
PaDeg	Paramecium decaurelia
PyGra	Pythium graminicola
MuSp	Mus sp.
PaDo	Paramecium dodecaurelia
DrLa	Drosophila lacicola
DrBo	Drosophila borealis
PyArr	Pythium arrhenomanes
PyDe	Pythium deliense
DrAm_2	Drosophila americana texana
CaCaSu	Candidatus Caldarchaeum subterraneum
MeAcr	Metarhizium acridum CQMa 102
ChQu	Cherax quadricarinatus
SoMa_2	Sordaria macrospora
PeAp	Pericallis appendiculata
LaLo	Lacazia loboi
RiCh	Rhizoplaca chrysoleuca
PoMo	Pomacentrus moluccensis
SaCe_4	Saccharomyces cerevisiae FostersO
SaCe_5	Saccharomyces cerevisiae VL3
SaCe_6	Saccharomyces cerevisiae FostersB
TrHi	Trametes hirsuta
RhRo	Philodina roseola
SaCe_7	Saccharomyces cerevisiae AWRI796
SaCe_8	Saccharomyces cerevisiae Vin13
SaCe_9	Saccharomyces cerevisiae Lalvin QA23
DoSi	Drosophila silvestris
PsMa	Pseudotsuga macrocarpa
DrMa	Drosophila mauritiana
PoPal	Heterostelium album PN500
DiDe	Ditylenchus destructor
SiAv	Sitobion avenae
PiMa	Picea mariana
PsMenz	Pseudotsuga menziesii
SiVi	Simulium vittatum
PrCoq	Propithecus coquereli
EpCo	Epinephelus coioides
CulTar	Culex tarsalis
CeCi	Cenchrus ciliaris
DaHa	Dactylellina haptotyla
ExDe	Exophiala dermatitidis
PhPis	Phytophthora pistaciae
ArHy	Arachis hypogaea
TuBo	Tuber borchii
SoAr	Sorex araneus
PeFl	Perca flavescens
PeFr	Petasites fragrans
BrBeTs	Branchiostoma belcheri tsingtauense
PfPi	Pfiesteria piscicida
DiFa	Cavenderia fasciculata
IxRi	Ixodes ricinus
PhSa	Phytophthora sansomeana
AmMa	Amblyomma maculatum
SclSp_3	Sclerotinia sp. LMK745
TePy	Tetrahymena pyriformis
HeMa	Heterorhabditis marelatus
ArDi	Arachis diogoi
ArPl_1	Arthrospira platensis NIES-39
PhCam	Phytophthora cambivora
PaAu	Paramecium aurelia
PhId	Phytophthora idaei
PhPseu	Phytophthora pseudotsugae
PhCitri	Phytophthora citricola
PhFr	Phytophthora fragariae
EuOc	Euplotes octocarinatus
ScMi	Sclerotinia minor
EpBr	Epinephelus bruneus
HelAr	Helicoverpa armigera
AdAePa	Adonis aestivalis var. palaestina
BrJu	Brassica juncea
EsLu	Esox lucius
LaTh_2	Lachancea thermotolerans
PaIn	Paxillus involutus
MiLe	Microtus rossiaemeridionalis
LiAu	Chelon auratus
TrPo	Tragopogon porrifolius
DaNo	Dasypus novemcinctus
PoTrPoDe	Populus trichocarpa x Populus deltoides
PoTrm	Populus tremuloides
ChLa	Chelon labrosus
AnFi	Anoplopoma fimbria
DrPh	Drosophila phaeopleura
MelAr	Meloidogyne artiellia
CiLe	Cimex lectularius
CuMa	Cucurbita maxima
TrBr_4	Trypanosoma brucei gambiense DAL972
HeMe	Heliconius melpomene
GoHi	Gossypium hirsutum
WoAr	Wolffia arrhiza
AnAn	Anguilla anguilla
HyNo	Hypophthalmichthys nobilis
AcCh	Actinidia chinensis
ZoAl	Zonotrichia albicollis
ChMe	Cheirogaleus medius
MuCu	Mugil curema
FaSy	Fagus sylvatica
NyCo	Nycticebus coucang
TrAg	Trichonympha agilis
HyOr	Hyacinthus orientalis
LeAp	Lepidium appelianum
SaOe	Saguinus oedipus
RhiFe	Rhinolophus ferrumequinum
PrAr	Prunus armeniaca
TrBr_5	Trypanosoma brucei brucei
SuBo	Suillus bovinus
LeLa	Lepidium latifolium
NiPl	Nicotiana plumbaginifolia
EuVi	Euryops virgineus
DaCar	Daucus carota
ChAe	Chlorocebus aethiops
BlGr	Blumeria graminis
RhPadi	Rhopalosiphum padi
IcFu	Ictalurus furcatus
CleSpi	Tarenaya spinosa
LaSt	Laodelphax striatellus
PaGi	Panax ginseng
GlyIn	Glyptapanteles indiensis
CaRos	Catharanthus roseus
EcAn	Echinacea angustifolia
LeDo_2	Leishmania donovani
LeAm	Leishmania amazonensis
AcTrReVi	LNras*SN acutely transforming retrovirus
LoJa	Lotus japonicus
LeMex_2	Leishmania mexicana
HarSa	Harpegnathos saltator
SiCh	Simmondsia chinensis
PaGu	Pantherophis guttatus
GZFos35D7	uncultured archaeon GZfos35D7
ThTerr	Thermothielavioides terrestris NRRL 8126
DiLa	Dicentrarchus labrax
PlFa_3	Plasmodium falciparum NF54
FuOx	Fusarium oxysporum f. sp. conglutinans Fo5176
SyPr	Symbiotic protist of Reticulitermes speratus
ViAc	Vigna aconitifolia
ViFa	Vicia faba
BaBi	Babesia bigemina
PiSp	Pisolithus sp. 441
EuGu	Eucalyptus gunnii
PhTro	Phytophthora tropicalis
PaRi	Paramecium primaurelia
CuSe	Cupressus sempervirens
PhVu	Phaseolus vulgaris
ElGu	Elaeis guineensis
MeSa	Medicago sativa
CicIn	Cichorium intybus x Cichorium endivia
ArAre	Arabidopsis arenosa
HeCh	Hertia cheirifolia
BrBe	Branchiostoma belcheri
StBom	Starmerella bombicola
PhMa	Phallusia mammillata
LeCam	Lethenteron camtschaticum
Eu	Euryarchaeota
Halobacteriales	Halobacteriales
Ha	Halobacteriaceae
PiTo_1	Picrophilus torridus
NiMa_1	Nitrosopumilus maritimus
MetRu_1	Methanobrevibacter ruminantium
PyCa_1	Pyrobaculum calidifontis
HaUt_1	Halorhabdus utahensis
PyAr_1	Pyrobaculum arsenaticum
ThNeu_1	Pyrobaculum neutrophilum
MeMar_1	Methanoculleus marisnigri
MeSt_1	Methanosphaera stadtmanae
MeEv_1	Methanohalobium evestigatum
MeVa_1	Methanococcus vannielii
MeKa_1	Methanopyrus kandleri
MeLa_1	Methanocorpusculum labreanum
MeIg_1	Methanotorris igneus
MeVo_1	Methanococcus voltae
HaXa_1	Halopiger xanaduensis
SuIs_7	Sulfolobus islandicus
MeJan_1	Methanocaldococcus jannaschii
MeMh_1	Methanohalophilus mahii
MeFr_1	Methanothermus fervidus
HaBo_1	Halogeometricum borinquense
MePl_1	Methanosphaerula palustris
ThKo_1	Thermococcus kodakarensis
PuAb_1	Pyrococcus abyssi
MeThe_1	Methanothrix thermoacetophila
ThGa_1	Thermococcus gammatolerans
MeBu_1	Methanococcoides burtonii
HaTu_1	Haloterrigena turkmenica
NaEq_1	Nanoarchaeum equitans
IdHo_1	Ignicoccus hospitalis
MeFe_1	Methanocaldococcus fervens
HaMu_1	Halomicrobium mukohataei
MeCo_1	Methanothrix soehngenii
MeMaz_1	Methanosarcina mazei
MeInf_1	Methanocaldococcus infernus
MeAc_1	Methanosarcina acetivorans
HaTi_1	Halorhabdus tiamatea
ThOn_1	Thermococcus onnurineus
ThPen_1	Thermofilum pendens
PyHo_1	Pyrococcus horikoshii
PyYa_1	Pyrococcus yayanosii
MePal_1	Methanocella paludicola
PyFu_1	Pyrococcus furiosus
MeAe_1	Methanococcus aeolicus
VuMo_1	Vulcanisaeta moutnovskia
StHe_1	Staphylothermus hellenicus
MeSe_1	Metallosphaera sedula
MeMr_1	Methanothermobacter marburgensis
MeTh_1	Methanothermobacter thermautotrophicus
HaLa_1	Halorubrum lacusprofundi
ThBa_1	Thermococcus barophilus
HaWa_1	Haloquadratum walsbyi
MeVul_1	Methanocaldococcus vulcanius
ThAc_1	Thermoplasma acidophilum
MeCu_1	Metallosphaera cuprina
MeZi_1	Methanosalsum zhilinae
MeSm_3	Methanobrevibacter smithii
IgAg_1	Ignisphaera aggregans
VuDi_1	Vulcanisaeta distributa
ThVo_1	Thermoplasma volcanium
SuSo_2	Saccharolobus solfataricus
SuAc_1	Sulfolobus acidocaldarius
MePt_1	Methanolacinia petrolearia
ThUz	Thermoproteus uzoniensis
SuTo_1	Sulfurisphaera tokodaii
StMar_1	Staphylothermus marinus
ThSi_1	Thermococcus sibiricus
PyAe_1	Pyrobaculum aerophilum
PyIs_1	Pyrobaculum islandicum
ThAg_1	Thermosphaera aggregans
HyBu_1	Hyperthermus butylicus
NaMa_1	Natrialba magadii
MeOk_1	Methanothermococcus okinawensis
LeLo_3	Candidatus Korarchaeota
ArFu_1	Archaeoglobus fulgidus
FePl_1	Ferroglobus placidus
ArVe_1	Archaeoglobus veneficus
DeKa_1	Desulfurococcus kamchatkensis
HaMa_1	Haloarcula marismortui
CaKo_2	Candidatus Korarchaeum
ArPr_1	Archaeoglobus profundus
CaNit_1	Nitrosarchaeum
HaJe_1	Halalkalicoccus jeotgali
AcHo_1	Acidianus hospitalis
HaPau_1	Haladaptatus paucihalophilus
FeAc_1	Ferroplasma acidarmanus
MeBo	Methanoregula boonei
CaMa_1	Caldivirga maquilingensis
HaVo_1	Haloferax volcanii
DeMu_1	Desulfurococcus mucosus
AcBo_1	Candidatus Aciduliprofundum boonei
HaSa_1	Halobacterium salinarum
CeSy_1	Candidatus Cenarchaeum symbiosum
AcSa_1	Acidilobus saccharovorans
CaKo_1	Candidatus Korarchaeum cryptofilum
BiAni_6	Bifidobacterium animalis subsp. lactis BLC1
AlAc_3	Alicyclobacillus acidocaldarius subsp. acidocaldarius Tc-4-1
ThSp_1	Thermococcus sp. 4557
PsSy_30	Pseudomonas amygdali pv. mori str. 301020
PsSy_27	Pseudomonas amygdali pv. lachrymans str. M301315
PsSy_32	Pseudomonas syringae pv. pisi str. 1704B
PsSy_26	Pseudomonas syringae pv. japonica str. M301072
PrDe_2	Prevotella dentalis DSM 3688
PsSy_31	Pseudomonas amygdali pv. morsprunorum str. M302280
PsSy_22	Pseudomonas amygdali pv. aesculi str. 0893_23
LaDe_5	Lactobacillus delbrueckii subsp. bulgaricus 2038
PsSy_23	Pseudomonas syringae pv. aptata str. DSM 50252
PsSy_20	Pseudomonas syringae pv. aceris str. M302273
PsSy_19	Pseudomonas syringae Cit 7
PsSy_29	Pseudomonas syringae pv. maculicola str. ES4326
PsSy_21	Pseudomonas syringae pv. actinidiae str. M302091
PsSy_28	Pseudomonas amygdali pv. lachrymans str. M302278
MyXa_1	Myxococcus xanthus
EsCo_148	Escherichia coli O6
SaEn_100	Salmonella enterica subsp. enterica serovar Weltevreden str. 2007-60-3289-1
EnFa_37	Enterococcus faecalis 62
CoGlu_3	Corynebacterium glutamicum S9114
SaEn_89	Salmonella enterica subsp. enterica serovar Montevideo str. NC_MB110209-0054
SaEn_90	Salmonella enterica subsp. enterica serovar Montevideo str. OH_2009072675
SaEn_77	Salmonella enterica subsp. enterica serovar Montevideo str. CASC_09SCPH15965
LiMo_32	Listeria monocytogenes str. Scott A
PaPo_3	Paenibacillus polymyxa M1
StAu_96	Staphylococcus aureus subsp. aureus T0131
CaeAn	Caenorhabditis angaria
GoAl	Gordonia alkanivorans NBRC 16433
StEq_4	Streptococcus equi subsp. zooepidemicus ATCC 35246
ZoGa	Zobellia galactanivorans
StTh_4	Streptococcus thermophilus JIM 8232
PaDe_1	Paracoccus denitrificans SD1
AcBa_17	Acinetobacter baumannii ABNIH3
StOr_3	Streptococcus oralis SK313
AcBa_18	Acinetobacter baumannii ABNIH4
RiAn_2	Riemerella anatipestifer RA-GD
HaPi	Haemophilus pittmaniae HK 85
StrIn_3	Streptococcus infantis SK970
StMi_11	Streptococcus mitis SK569
AcBa_19	Acinetobacter baumannii ABNIH1
StrCo	Streptococcus constellatus subsp. pharyngis SK1060 = CCUG 46377
AcBa_20	Acinetobacter baumannii ABNIH2
StPa_4	Streptococcus parasanguinis SK236
ErPy_1	Erwinia pyrifoliae DSM 12163
SpNe	Sphoeroides nephelus
CoPsu_1	Corynebacterium pseudotuberculosis I19
LePn_6	Legionella pneumophila 130b
ErwSp	Erwinia sp. Ejp617
SaHy	Saccharum hybrid cultivar H65-7052
StGa_4	Streptococcus gallolyticus subsp. gallolyticus ATCC 43143
StAu_88	Staphylococcus aureus subsp. aureus ED133
EsCo_149	Escherichia coli O83:H1 str. NRG 857C
EsCo_163	Escherichia coli TW10509
StrVe	Streptomyces venezuelae ATCC 10712
KetVu	Ketogulonicigenium vulgare WSH-001
ClBo_20	Clostridium botulinum C str. Stockholm
CaNit_2	Nitrosarchaeum koreense MY1
