Root	root
MeHa	Meloidogyne hapla
AcrMi	Acropora millepora
EuSc	Euprymna scolopes
AsPe	Patiria pectinifera
BoMi	Rhipicephalus microplus
AcPa	Acropora palmata
HyDu	Hypsibius dujardini
EpBu	Eptatretus burgeri
PaTri	Parastrongyloides trichosuri
RhAp	Rhipicephalus appendiculatus
DaMa	Daphnia magna
TrMu	Trichuris muris
LuRu	Lumbricus rubellus
AmCa	Amblyomma cajennense
MoOv	Monosiga ovata
GaAc	Gasterosteus aculeatus
LoMi	Locusta migratoria
OnNi	Oncometopia nigricans
DiAb	Diaprepes abbreviatus
StRa	Strongyloides ratti
PlAl	Platystomos albinus
HyVu	Hydra vulgaris
HeEr	Heliconius erato
OsCa	Oscarella carmela
PoCa	Podocoryna carnea
AnCe	Ancylostoma ceylanicum
BiGl	Biomphalaria glabrata
EcMu	Echinococcus multilocularis
GlPa	Globodera pallida
PrPa	Pristionchus pacificus
MeChi	Meloidogyne chitwoodi
MeJav	Meloidogyne javanica
BuXy	Bursaphelenchus xylophilus
NeAm	Necator americanus
AmTi	Ambystoma tigrinum
XiIn	Xiphinema index
MePa	Meloidogyne paranaensis
PrPe	Pratylenchus penetrans
GlRos	Globodera rostochiensis
MeIn	Meloidogyne incognita
TrVu	Trichuris vulpis
TeCi	Teladorsagia circumcincta
AsSu	Ascaris suum
OsOs	Ostertagia ostertagi
ArMo	Argas monolakensis
ApGo	Aphis gossypii
PaDa	Papilio dardanus
RhAm	Rhynchosciara americana
MyPer	Myzus persicae
BlTr	Blomia tropicalis
ToCi	Aphis citricidus
SpFr	Spodoptera frugiperda
PeMa	Petromyzon marinus
DiLi	Diplosoma listerianum
PhRa	Phytophthora ramorum
PhTr_1	Phaeodactylum tricornutum
MoBr_1	Monosiga brevicollis
NaGr_2	Naegleria gruberi
CaTr_1	Candida tropicalis
BoCi	Botrytis cinerea
LoEl_1	Lodderomyces elongisporus
MyGr	Mycosphaerella graminicola
MeFl_1	Methylobacillus flagellatus
ClPe_2	Clostridium perfringens
ShFr_1	Shewanella frigidimarina
StPn_2	Streptococcus pneumoniae
CaJe_2	Campylobacter jejuni
PsFl_2	Pseudomonas fluorescens
PePe_1	Pediococcus pentosaceus
NiHa_1	Nitrobacter hamburgensis
HaCh_1	Hahella chejuensis
GeMe_1	Geobacter metallireducens
BrMe_2	Brucella melitensis
