ncbi_id,tracey_id,species group,species subgroup,cohort,family,tribe,class,biotype,genotype,section,order,superorder,superphylum,pathogroup,subphylum,parvorder,subfamily,species,isolate,infraorder,subkingdom,forma,phylum,strain,superkingdom,suborder,kingdom,infraclass,superclass,superfamily,subtribe,subcohort,forma specialis,serogroup,subclass,varietas,series,genus,serotype,subgenus,subspecies
5794,38,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Apicomplexa,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2763,40,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Rhodophyta,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
142796,41,-,-,-,-,-,Eumycetozoa,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Evosea,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
33084,42,-,-,-,Entamoebidae,-,-,-,-,-,Mastigamoebida,-,-,-,-,-,-,-,-,-,-,-,Evosea,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
115366,43,-,-,-,-,-,Craniata,-,-,-,-,-,-,-,Craniiformea,-,-,-,-,-,-,-,Brachiopoda,-,-,-,Metazoa,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5738,44,-,-,-,-,-,-,-,-,-,Diplomonadida,-,-,-,-,-,-,-,-,-,-,-,Fornicata,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6340,45,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Annelida,-,-,-,Metazoa,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6074,46,-,-,-,-,-,Hydrozoa,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Cnidaria,-,-,-,Metazoa,-,-,-,-,-,-,-,-,-,-,-,-,-,-
88770,47,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Metazoa,-,-,-,-,-,-,-,-,-,-,-,-,-,-
42241,48,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Tardigrada,-,-,-,Metazoa,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6933,49,-,-,-,-,-,Arachnida,-,-,-,-,-,-,-,Chelicerata,-,-,-,-,-,-,-,Arthropoda,-,-,-,Metazoa,-,-,-,-,-,-,-,Acari,-,-,-,-,-,-
5653,50,-,-,-,-,-,Kinetoplastea,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Euglenozoa,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6843,51,-,-,-,-,-,-,-,-,-,-,-,-,-,Chelicerata,-,-,-,-,-,-,-,Arthropoda,-,-,-,Metazoa,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6605,52,-,-,-,-,-,Cephalopoda,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Mollusca,-,-,-,Metazoa,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6855,53,-,-,-,-,-,Arachnida,-,-,-,Scorpiones,-,-,-,Chelicerata,-,-,-,-,-,-,-,Arthropoda,-,-,-,Metazoa,-,-,-,-,-,-,-,-,-,-,-,-,-,-
28009,54,-,-,-,-,-,Choanoflagellata,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5752,55,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Heterolobosea,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
